customer_id,industry,region,tier,seats,tenure_months,engagement_score,support_tickets,mrr,churned
5100,Retail,NA,Starter,3,2,43.5,0.0,120.0,0
5101,Retail,LATAM,Enterprise,56,36,75.4,4.0,2252.37,0
5102,SaaS,APAC,Growth,19,22,66.3,2.0,438.51,1
5103,Healthcare,NA,Starter,3,14,30.6,1.0,41.02,0
5104,Healthcare,APAC,Growth,16,3,48.3,5.0,416.46,0
5105,Finance,APAC,Enterprise,71,13,98.2,8.0,2810.08,0
5106,Finance,LATAM,Starter,2,46,43.1,1.0,29.36,0
5107,SaaS,APAC,Growth,12,4,62.2,2.0,367.1,0
5108,Finance,APAC,Growth,13,1,71.6,5.0,338.2,0
5109,Education,NA,Starter,4,12,55.5,0.0,21.88,0
5110,SaaS,APAC,Growth,20,16,69.4,2.0,497.34,1
5111,Finance,NA,Growth,9,10,54.0,5.0,187.48,0
5112,Education,EMEA,Enterprise,67,10,82.5,3.0,2691.09,0
5113,Retail,EMEA,Starter,5,26,42.7,2.0,95.3,0
5114,Retail,APAC,Enterprise,93,1,79.7,6.0,3686.48,0
5115,Healthcare,NA,Starter,4,47,40.2,0.0,39.44,0
5116,Retail,APAC,Growth,17,24,59.2,1.0,470.49,0
5117,Retail,EMEA,Growth,12,18,63.3,5.0,279.66,0
5118,Education,LATAM,Starter,3,4,14.7,1.0,43.68,0
5119,Finance,LATAM,Starter,6,10,39.4,0.0,30.15,1
5120,Education,LATAM,Growth,26,43,42.6,2.0,616.53,0
5121,Finance,NA,Starter,4,16,31.0,0.0,27.06,0
5122,Finance,APAC,Growth,19,33,60.2,2.0,562.05,1
5123,Finance,LATAM,Growth,10,8,61.1,3.0,233.64,1
5124,Retail,LATAM,Growth,16,18,73.2,5.0,378.8,0
5125,SaaS,LATAM,Growth,23,16,63.2,2.0,552.47,0
5126,Healthcare,NA,Starter,3,40,38.0,0.0,29.38,0
5127,Education,NA,Starter,5,19,48.3,0.0,86.24,0
5128,Education,LATAM,Starter,5,38,58.8,4.0,67.58,0
5129,Finance,EMEA,Starter,1,44,35.3,1.0,94.31,0
5130,Retail,EMEA,Starter,4,16,13.4,0.0,56.55,1
5131,Retail,EMEA,Enterprise,73,10,71.0,3.0,2977.9,0
5132,Education,LATAM,Growth,18,40,61.5,4.0,461.07,0
5133,Healthcare,APAC,Starter,2,44,29.0,0.0,48.22,0
5134,Finance,EMEA,Starter,4,44,36.0,1.0,20.0,0
5135,Retail,LATAM,Enterprise,78,7,86.6,3.0,,0
5136,Healthcare,EMEA,Starter,6,30,39.1,0.0,69.24,0
5137,Finance,APAC,Enterprise,55,6,83.6,7.0,2190.28,0
5138,Education,LATAM,Growth,18,17,55.6,1.0,363.88,0
5139,SaaS,EMEA,Growth,22,20,63.1,2.0,585.22,0
5140,Retail,NA,Enterprise,88,43,86.7,4.0,3504.51,0
5141,Retail,APAC,Growth,18,35,61.2,0.0,1513.68,0
5142,Finance,EMEA,Growth,15,45,58.7,3.0,364.79,0
5143,Finance,EMEA,Starter,6,40,27.7,0.0,62.88,0
5144,Finance,EMEA,Enterprise,79,17,95.9,4.0,3176.28,0
5145,Finance,LATAM,Starter,5,41,34.6,0.0,20.0,1
5146,Retail,LATAM,Enterprise,92,5,79.6,1.0,3642.76,0
5147,SaaS,APAC,Starter,4,10,58.8,0.0,59.63,0
5148,Healthcare,EMEA,Starter,4,41,,1.0,53.82,0
5149,SaaS,LATAM,Growth,17,3,,2.0,409.93,0
5150,Finance,LATAM,Enterprise,87,32,79.9,4.0,3457.04,0
